fid;class;Landsat8_2024-07-23_1;Landsat8_2024-07-23_2;Landsat8_2024-07-23_3;Landsat8_2024-07-23_4;Landsat8_2024-07-23_5;Landsat8_2024-07-23_6;Landsat8_2024-07-23_7;NDVI;NDMI;NBR
165;0;8037;8004;8546;8028;18852;12715;9395;0.40267857142857144;0.19441188583013908;0.334796615569795
166;0;7945;7967;8523;7963;18662;12408;9263;0.4018403755868545;0.20128741551335694;0.3365801253357207
167;0;7852;7857;8199;7819;16019;11293;8866;0.34398858964678247;0.17303749267721147;0.2874422342776773
168;0;7955;7941;8367;7910;17832;12341;9262;0.38544013674151195;0.1819838928843668;0.31630619325311876
169;0;8095;8045;8654;8080;19346;12995;9504;0.41077809377962515;0.1963761170031848;0.3411438474870017
170;0;7863;7866;8411;7896;18784;12396;9271;0.408095952023988;0.20487491982039768;0.3390839422562823
171;0;7993;7975;8562;7957;20503;13034;9461;0.44082923401264934;0.2227092465038614;0.36850887731945
172;0;7985;7999;8642;8015;20897;12792;9355;0.4455589374654123;0.24058297960758704;0.38152849398386884
173;0;7732;7792;8318;7865;17398;10932;8662;0.3773502751058861;0.22823861630780093;0.33522640061396775
174;0;7785;7841;8304;7843;16293;12019;9130;0.35009943652635067;0.15096072336818311;0.28175274357864927
175;0;7969;7975;8472;8011;17653;12221;9289;0.3757013715710723;0.18183035415411394;0.3104446588968896
176;0;7888;7904;8336;7890;17198;11154;8803;0.3710140306122449;0.21317720090293454;0.3228721972231837
177;0;8064;8136;8718;8233;20126;13565;9942;0.4193730385415565;0.1947404351310439;0.3386989490488227
178;0;7943;7958;8541;8028;18067;12364;9314;0.3847097145046944;0.187407577798955;0.31967422665351886
179;0;7943;7957;8547;7999;18326;12432;9283;0.3922886989553656;0.19162494310423306;0.3275381216270057
180;0;7842;7900;8464;7943;17599;11942;9048;0.3780440059509827;0.19149656409735621;0.32089916313281047
181;0;8013;8004;8553;8024;18982;12738;9440;0.40576168258905426;0.19684741488020177;0.33572584617549783
182;0;7805;7882;8561;7990;20178;12830;9387;0.43268957682476566;0.2226126999515269;0.3649923896499239
183;0;8002;8027;8758;8131;19391;12348;9222;0.4091272436596178;0.22190365165884243;0.3553978960612309
184;0;7796;7849;8521;8016;18682;12271;9219;0.3995055809423927;0.20712047297515587;0.3391634708433389
185;0;7870;7890;8578;7995;18953;12196;9101;0.4066350007421701;0.21692510192943593;0.3511798673985884
186;0;7833;7877;8476;7939;18920;12335;9230;0.4088387505119327;0.21068629019356902;0.3442273534635879
187;0;7811;7837;8478;7913;19177;12066;9028;0.41579918789221115;0.22760298306820728;0.3598298174082609
188;0;7872;7889;8251;7835;16917;11591;8947;0.3669198448610213;0.18682475094710257;0.30815032477575005
189;0;8052;8040;8733;8081;20938;12987;9440;0.4430545504669355;0.2343699336772292;0.37849759694515767
190;0;8008;7978;8530;7954;19323;12887;9444;0.41679803497452067;0.1998137224464452;0.3434143289185525
191;0;7967;7941;8448;7913;19041;12228;9196;0.4128515248200638;0.21788352681569606;0.34865601869887025
192;0;8041;8047;8663;8086;20118;13418;9655;0.4266061551552971;0.19978530534351144;0.3514257884660599
193;0;7975;7988;8533;7975;19458;12633;9379;0.4185834578791966;0.21267645134149762;0.3495162464888858
194;0;7937;7922;8418;7939;18175;12093;9093;0.39197365397870876;0.20093828465706357;0.333064397828957
195;0;7840;7873;8425;7914;18205;12261;9183;0.3940043646387687;0.19510273747784415;0.3294143420476121
